ID,IsVIP,CountryCode,TotalUnits,TotalFee,Industry,Tenure,UsersCount,Churn,ChurnPerc,TicketsCount,TicketsPriorityMean,TicketsClosedCount,SLATimeUsedTotal,SLATimeUsedMean,SLAPercentageTotal,SLAPercentageMean,NonCompliantSLACount,RMACount,RMAUnitsCount,MDVRCount,FatigueMonitorCount,FuelSensorCount,PowerOnEventsCount,PricingCancelCount,ClosedBussCancelCount,NoPaymentCancelCount,SoldVehicleCancelCount,NoUsedVehicleCancelCount,MultHWCasesCancelCount,NoUsedCancelCount
57071,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,127,0,0,1,0,0,0,0
57073,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,128,0,0,1,0,0,0,0
57074,0,CO,3,89.97,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,377,0,0,1,0,0,0,0
57075,0,CO,2,59.98,Transportation & Logistics,43,1,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,128,0,0,1,0,0,1,0
57076,0,CO,3,89.97,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,712,0,0,0,0,0,1,0
57077,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,147,0,0,0,0,0,1,0
57078,0,CO,2,59.98,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,805,0,0,1,0,0,0,0
57080,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,24,0,0,1,0,0,0,0
57086,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,60,0,0,0,0,0,1,0
57087,0,CO,3,89.97,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,518,0,0,1,0,0,0,0
57088,0,CO,1,29.99,Transportation & Logistics,43,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,114,0,0,0,0,0,1,0
57099,0,CO,4,79.96,Transportation & Logistics,43,1,1,100.00,7,2.00,5,1020694,145813.00,33890,4841.00,7,0,0,0,0,0,65,0,0,0,0,0,0,0
57119,0,CO,2,29.99,Transportation & Logistics,42,1,0,53.60,3,3.00,3,22650,7550.00,196,65.00,3,0,0,0,0,0,2,0,1,0,0,0,0,0
57120,0,CO,1,29.99,Transportation & Logistics,42,1,1,100.00,1,3.00,1,20270,20270.00,170,170.00,1,0,0,0,0,0,7,0,0,0,1,0,0,0
57130,0,CO,1,19.99,Transportation,42,1,1,100.00,1,3.00,0,110295,110295.00,928,928.00,1,0,0,0,0,0,64,0,0,1,0,0,0,0
57132,0,CO,14,419.86,Transportation & Logistics,42,2,1,100.00,4,2.00,4,65505,16376.00,742,185.00,4,0,0,0,0,0,72316,0,0,0,1,0,0,0
57143,0,CO,1,29.99,Transportation & Logistics,42,1,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,14,0,0,1,0,0,0,0
57159,0,US,1,28.12,Government,42,2,0,3.60,2,2.00,2,0,0.00,0,0.00,2,0,0,0,0,0,78,0,0,0,0,0,0,0
57176,0,CO,1,29.99,Transportation,42,1,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,5015,0,0,1,0,0,0,0
57184,0,CO,3,13.65,Accounting,42,1,0,70.27,5,3.00,5,36401,7280.00,680,136.00,5,0,0,0,0,0,375,0,0,0,2,0,0,0
57194,0,CO,1,29.99,Transportation & Logistics,42,2,1,100.00,1,3.00,1,20268,20268.00,170,170.00,1,0,0,0,0,0,12,0,0,1,0,0,0,0
57206,0,CO,1,19.99,NULL,42,2,1,100.00,1,2.00,1,0,0.00,0,0.00,1,0,0,0,0,0,2878,0,0,0,0,0,0,0
57218,0,PE,1,29.99,Transportation & Logistics,42,1,1,100.00,1,1.00,1,0,0.00,0,0.00,1,0,0,0,0,0,229,0,0,0,1,0,0,0
57222,0,CO,5,5800.01,Transportation & Logistics,42,1,0,3.60,4,2.00,4,0,0.00,0,0.00,4,0,0,1,0,7,11089,0,0,0,0,0,0,0
57223,0,CO,3,59.97,Transportation,42,2,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,1065,1,0,0,0,0,0,0
57227,0,US,1,29.99,NULL,42,0,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,4,0,0,0,0,0,0,0
57248,0,US,6,89.97,NULL,42,1,0,86.93,2,3.00,2,20811,10405.00,614,307.00,2,3,3,0,0,0,157,0,0,0,0,0,0,0
57259,0,CO,1,19.99,Transportation,42,1,1,100.00,1,3.00,0,0,0.00,0,0.00,1,0,0,0,0,0,35,0,0,1,0,0,0,0
57262,0,US,1,26.95,Freight Forwarders / Couriers,42,4,1,100.00,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,27,0,0,0,0,0,0,1
57269,0,CO,1,19.99,Accounting,42,1,0,3.60,1,3.00,1,2487,2487.00,92,92.00,1,0,0,0,0,0,12,0,0,0,0,0,0,0
57270,0,CO,23,689.77,Transportation & Logistics,42,2,1,100.00,14,2.00,12,0,0.00,0,0.00,14,0,0,0,0,4,86627,0,0,1,1,0,0,0
57279,0,CO,2,59.98,Accounting,42,1,0,3.60,1,2.00,1,280,280.00,25,25.00,1,0,0,0,0,0,78,0,0,0,0,0,0,0
57307,0,US,50,430.00,NULL,42,2,0,17.60,2,2.00,2,38360,19180.00,1241,620.00,2,0,0,0,0,0,11079,0,0,0,0,0,0,0
57308,0,PE,1,19.99,Transportation & Logistics,42,1,0,3.60,5,3.00,5,0,0.00,0,0.00,5,0,0,0,0,0,1289,0,0,0,0,0,0,0
57332,0,US,1,21.95,NULL,41,1,1,100.00,1,3.00,0,300470,300470.00,2529,2529.00,1,0,0,0,0,0,210,0,0,0,0,0,0,1
57346,0,CO,7,108.50,Transportation,41,1,0,3.60,3,2.00,3,0,0.00,0,0.00,3,0,0,0,0,0,9595,0,0,0,0,0,0,0
57350,0,CO,1,29.99,Transportation,41,1,1,100.00,6,2.00,6,69302,11550.00,1778,296.00,6,0,0,0,0,0,0,0,0,0,1,0,0,0
57355,0,CO,1,29.99,Accounting,41,1,1,100.00,1,2.00,0,470614,470614.00,14525,14525.00,1,0,0,0,0,0,17,0,0,0,1,0,0,0
57362,0,CO,12,149.40,Transportation & Logistics,41,5,0,3.60,5,2.00,5,0,0.00,0,0.00,5,0,0,0,0,0,9297,0,0,0,0,0,0,0
57389,0,CO,1,19.99,Transportation,41,1,1,100.00,2,2.00,2,0,0.00,0,0.00,2,0,0,0,0,0,319,0,0,1,1,0,0,0
57392,0,PE,13,389.87,Transportation & Logistics,41,2,0,3.60,5,2.00,5,0,0.00,0,0.00,5,0,0,0,0,0,1843,0,0,1,0,0,0,0
57401,0,CO,2,29.99,Transportation & Logistics,41,2,0,53.60,4,2.00,4,0,0.00,0,0.00,4,0,0,0,0,0,0,0,0,0,1,0,0,0
57409,0,CO,2,29.99,Transportation & Logistics,41,4,0,53.60,6,2.00,6,102059,17009.00,3218,536.00,6,0,0,0,0,0,4,0,0,0,0,0,1,0
57421,0,CO,2,39.98,Transportation,41,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,1738,0,0,0,0,0,0,1
57423,0,US,40,695.84,Rental,41,13,0,21.10,3,2.00,2,366498,122166.00,3206,1068.00,3,4,5,0,0,0,1969,0,0,0,0,0,0,0
57449,0,CO,27,336.15,Service,41,4,0,3.60,4,3.00,2,0,0.00,0,0.00,4,0,0,0,0,0,530,0,0,0,0,0,0,0
57461,0,PE,1,19.99,Transportation & Logistics,41,1,1,100.00,2,3.00,2,0,0.00,0,0.00,2,0,0,0,0,0,23,0,0,1,0,0,0,0
57523,0,CO,1,19.99,Transportation,41,1,1,100.00,2,3.00,2,0,0.00,0,0.00,2,0,0,0,0,0,30,0,0,0,1,0,0,0
57532,0,CO,4,39.98,Transportation,41,1,0,53.60,15,2.00,15,0,0.00,0,0.00,15,0,0,0,0,0,10612,0,0,0,3,0,0,0
57535,0,US,7,128.77,NULL,41,9,1,100.00,3,3.00,3,37159,12386.00,1169,389.00,3,0,0,0,0,0,1883,0,0,0,1,0,0,1
57552,0,CO,29,869.71,Transportation & Logistics,41,1,1,100.00,8,2.00,8,0,0.00,0,0.00,8,0,0,0,0,2,147744,0,0,2,0,0,0,0
57557,0,CO,1,19.99,Accounting,41,1,1,100.00,5,3.00,4,136328,27265.00,4425,885.00,5,0,0,0,0,0,17,0,0,1,0,0,0,0
57563,0,CO,3,89.97,Transportation & Logistics,41,1,1,100.00,3,3.00,2,0,0.00,0,0.00,3,0,0,0,0,0,15386,0,0,0,1,0,0,0
57583,0,CO,1,19.99,Transportation & Logistics,40,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,26,0,0,1,0,0,0,0
57591,0,PE,1,29.99,Transportation & Logistics,40,1,1,100.00,3,3.00,3,0,0.00,0,0.00,3,0,0,0,0,0,2,0,0,0,1,0,0,0
57600,0,PE,8,239.92,Transportation & Logistics,40,1,1,100.00,3,2.00,2,0,0.00,0,0.00,3,0,0,0,0,0,670,0,0,0,0,0,1,0
57602,0,CO,1,12.48,Transportation & Logistics,40,1,0,3.60,1,3.00,0,7125,7125.00,59,59.00,1,0,0,0,0,0,469,0,0,0,0,0,0,0
57614,0,CO,1,19.99,Transportation,40,1,1,100.00,1,3.00,1,0,0.00,0,0.00,1,0,0,0,0,0,255,0,0,0,1,0,0,0
57616,0,US,1,20.00,NULL,40,1,1,100.00,2,3.00,2,2508,1254.00,37,18.00,2,0,0,0,0,0,78,0,0,0,0,0,0,1
57661,0,CO,1,19.99,Transportation & Logistics,40,1,1,100.00,7,3.00,7,80375,11482.00,1586,226.00,7,0,0,0,0,0,1718,0,0,0,1,0,0,0
57662,0,CO,6,179.94,Transportation & Logistics,40,3,1,100.00,4,2.00,3,359738,89934.00,4568,1142.00,4,0,0,0,0,0,211,0,0,1,0,0,0,0
57670,0,CO,1,19.99,Accounting,40,1,1,100.00,2,3.00,0,376418,188209.00,13940,6970.00,2,0,0,0,0,0,220,0,0,0,1,0,0,0
57673,0,CO,1,19.99,Transportation & Logistics,40,1,1,100.00,1,3.00,0,116113,116113.00,977,977.00,1,0,0,0,0,0,2199,0,0,1,0,0,0,0
57674,0,US,3,40.00,Service,40,1,0,36.93,0,2.00,0,0,0.00,0,0.00,0,0,0,0,0,0,193,0,0,0,0,0,0,0
57679,0,CO,7,139.93,Accounting,40,1,0,3.60,3,3.00,3,24173,8057.00,894,298.00,3,0,0,0,0,0,22570,0,0,0,0,0,0,0
57684,0,CO,6,119.96,Transportation & Logistics,40,3,0,36.93,12,2.00,12,401920,33493.00,13403,1116.00,12,0,0,0,0,3,59729,0,0,0,2,0,0,0
